Africa	n.非洲
欧洲联盟	 European Union; EU
欧洲人	 European (person)
欧洲语言	 European language
鸥	 common gull
殴	 brawl
殴打	 beat up
藕	 root of lotus
呕	 vomit
偶	 accidental; image; pair; mate
偶然	 incidentally; occasional; occasionally
偶像	 idol
沤	 bubble; froth
沤	 steep
趴	 to lie on one's stomach
爬	 crawl; climb
爬虫动物	 reptile
帕	 handkerchief
帕德博恩	 Paderborn
帕迪尤卡	 Paducah
帕尔马	 Palma De Mallorca
帕尔迈拉	 Palmyra
帕福斯	 Paphos
帕果帕果	 Pago Pago
帕克拉皮兹	 Park Rapids
帕克斯	 Parkes
帕拉博鲁瓦	 Phalaborwa
帕拉古尔德	 Paragould
帕拉马里博	 Paramaribo
帕兰卡	 Palanka (a personal name)
帕勒斯坦	 Palestine
帕里斯	 Paris
帕鲁	 Peru
帕伦克	 Palenque
帕洛阿尔托	 Palo Alto
帕马	 Parma
帕姆代尔	 Palmdale
帕皮提	 Papeete
帕萨迪纳	 Pasadena
帕森斯	 Parson
帕斯卡古拉	 Pascagoula
帕斯科	 Pasco
帕斯托	 Pasto
帕苏丰杜	 Passo Fundo
帕索罗布尔斯	 Paso Robles
帕特拉斯	 Patras
帕西菲港	 Pacific Harbour
怕	 to be afraid; to fear
怕羞	 coy; shy; bashful
琶	 (mus. instr.)
拍	 to clap; to pat; to beat; to hit; to slap; to take (a picture)
拍案叫绝	 lit.: slap the table and shout with praise; fig.: wonderful!
拍打	 flap
拍击	 smack; beat
拍卖	 auction
拍摄	 (shoot a) picture
拍手	 clap
拍照	 to take a picture
排	 row of logs or boards
排	 a platoon; line up
排斥	 reject; exclude; eliminate; remove
排出	 discharge
排除	 exclude; rule out
排队	 to line up
排放	 discharge; exhaust (gas, etc)
排列	 array
排球	 volleyball
排山倒海	 earth-shaking; of spectacular significance
排水	 drain
排水沟	 gutter
排水渠	 drainage
排外	 xenophobic; anti-foreigner
排行	 seniority; ranking
牌	 cards; game pieces; signboard; plate; tablet
牌坊	 memorial arch
牌号	 trademark
牌价	 list price
牌楼	 decorated archway
牌位	 memorial tablet
牌照	 license plate
牌子	 sign; trademark
牌匾	 board (attached to a wall)
徘	 irresolute
徘徊	 hover; linger; roam; wander
湃	 sound of waves
派	 clique; school; group; faction; to dispatch
派别	 denomination
派出	 send; dispatch
派恩布拉夫	 Pine Bluff
派恩岛	 Pine Cay
派给工作	 to task
派遣	 send (on a mission); dispatch
派任	 set apart
派系	 sect
攀	 climb up; pull
攀升	 rising
潘	 (surname)
潘圭奇	 Panguitch
潘帕	 Pampa
潘普洛纳	 Pamplona
盘	 dish; tray; to build; to check; to examine; to transfer; (a measure word  used for dishes of food or coils of wire); to coil
盘	 big; wooden tray
盘子	 tray
磐	 firm; stable; rock
盼	 to hope for; to long for; to expect
盼望	 to hope for; look forward to
畔	 bank; field-path
判	 to judge; to sentence; to discriminate; to discern
判处	 to sentence; to condemn
判处死刑	 to sentence to death
判定	 judge; decide; judgment; determination
判断	 to decide; to determine
判决	 judgment (by a court of law)
判明	 to distinguish; to ascertain
叛	 to betray; to rebel; to revolt
叛变	 renegade; traitor; to betray one's country
叛变的省份	 renegade province (Taiwan)
叛国罪	 the crime of treason
叛教	 apostasy
叛军	 rebel army
叛乱	 armed rebellion
叛乱罪	 the crime of armed rebellion
叛卖	 to betray
叛逆	 to rebel; to revolt
叛逆者	 traitor
叛徒	 traitor; turncoat
乓	 bang (onomat.)
庞	 (surname); huge; enormous; tremendous
庞大	 huge; enormous; tremendous
庞然大物	 huge monster
旁	 beside; one side; other; side; self
旁边	 lateral; side
旁观	 spectator; non-participant
旁路	 to bypass
旁听	 be a visitor (at a meeting, class, trial, etc)
耪	 to weed
胖	 fat; plump
胖子	 fat person; fatty
抛	 to throw; to toss; to fling; to cast; to abandon
抛弃	 discard; dump
咆	 to roar
咆哮	 growl; roar
刨	 eliminate; to dig; to question
刨	 a plane; to plane
刨	 a plane; to plane; level or make smooth
刨冰	 water-ice
刨程	 planing length
刨齿	 gear-shaping
刨床	 planer; planing machine
刨刀	 planing tool
刨工	 planing; planing machine operator; planer
刨花	 wood shavings
刨子	 plane
炮	 cannon; gun; firecracker
炮	 gun; cannon
炮手	 gunner
炮台	 battery
袍	 gown (lined)
跑	 to run; to escape
跑表	 stopwatch
跑步	 to walk quickly; to march; to run
跑步者	 runner
跑车	 racing bike
跑道	 athletic track; runaway; track
跑电	 electrical leakage
跑江湖	 to make a living as a traveling performer, etc.
跑警报	 to run for shelter
跑垒	 base running
跑龙套	 to play a small role
跑马	 horse race
跑堂儿的	 waiter
跑腿儿	 to run errands
跑鞋	 running shoes
泡	 to steep; soak
泡	 puffed; swollen
泡沫	 foam
呸	 to spit (in contempt)
胚	 fetus
培	 to cultivate; to earth up
培土	 to earth up
培修	 to repair earthworks
培训	 to cultivate; to train
培养	 to train; culture; to bring up; to groom (for a position)
培育	 to train; to breed
培植	 to cultivate; to train
裴	 (surname)
赔	 lose in trade; pay damage
赔偿	 compensate
赔偿金	 compensation
陪	 to accompany; to keep sb. company
陪伴	 accompany
陪审团	 jury
陪同	 accompany
配	 to join; to fit; to mate; to mix; to match; to deserve; to make up (a  prescription)
配备	 to allocate; to provide; to outfit with
配称	 worthy
配合	 coordinate with; act in concert with
配偶	 consort; mate; spouse
配送者	 distributor
配药	 dispense (drugs); prescribe
配置	 to deploy
佩	 to respect; wear (belt; etc.)
佩	 girdle ornaments; wear (belt; etc.)
佩恩斯维尔	 Painesville
佩尔城	 Pell City
佩科斯	 Pecos
佩雷拉	 Pereira
佩里	 Perry
佩里格	 Perigueux
佩鲁贾	 Perugia
佩洛塔斯	 Pelotas
佩洛西	 (Nancy) Pelosi (member of US Congress)
佩皮尼昂	 Perpignan
佩奇	 Page
佩斯卡拉	 Pescara
沛	 copious; abundant
喷	 to puff; to spout; to spray; to spurt
喷	 fragrant; sneeze
喷出	 spout; spray
喷墨	 ink jet
喷泉	 fountain
喷射	 jet; spurt
盆	 basin
盆地	 basin (low-lying geographical feature); depression
砰	 sound of crashing; thunder
抨	 attack; impeach
抨击	 attack (verbally or in writing)
烹	 cuisine; cooking
烹调术	 cookery
澎	 sound of waves
彭	 (surname)
彭布罗克	 Pembroke
彭德尔顿	 Pendleton
彭蒂克顿	 Penticton
彭萨科拉	 Pensacola
彭赞斯	 Penzance
蓬	 (grass); disheveled
蓬塞	 Ponce
蓬松	 fluffy
蓬塔阿雷纳斯	 Punta Arenas
棚	 shed
棚子	 shack; shed
硼	 boron
篷	 sail
膨	 swollen
膨胀	 to expand; to inflate; to swell
朋	 friend
朋比为奸	 to conspire; to gang up
朋党	 clique
朋友	 friend
鹏	 large fabulous bird
捧	 hold or offer with both hands
碰	 to touch; to meet with; to bump
碰触	 to touch
碰见	 to run into; to meet
碰巧	 by chance; by coincidence; to happen to
碰撞	 collide
坯	 unburnt earthenware
砒	 arsenic
霹	 clap of thunder
批	 to ascertain; (measure word for batches, lots); to act on; to criticize; to  pass on
批发	 wholesale
批量	 batch; lot
批量生产	 to mass produce
批评	 to criticize; criticism
批评家	 critic
批准	 to approve; to ratify
披	 scatter; separate; to open; to unroll; to spread out
披露	 to reveal; to publish; to make public; to announce
劈	 hack; chop; split open
劈	 split in two; divide
劈开	 cleave
琵	 (mus. instr.)
琵琶	 lute
毗	 adjoin; border
毗连	 adjoin
啤	 beer
啤酒	 beer
脾	 spleen
脾气	 temperament; disposition; temper
疲	 weary
疲惫	 beaten; exhausted
疲倦	 tire; tired
疲劳	 fatigue; wearily; weariness; weary
皮	 leather; skin; fur
皮奥里亚	 Peoria
皮鞭	 lash
皮茨菲尔德	 Pittsfield
皮带	 strap; leather belt
皮蒂亚克	 Pontiac
皮儿	 (dough, etc.)wrappers; cover
皮尔	 Pierre
皮尔戈斯	 Pyrgos
皮尔斯堡	 Fort Pierce
皮肤	 skin
皮革	 leather
皮里港	 Port Pirie
皮斯里弗	 Peace River
皮塔利托	 Pitalito
皮特克恩岛	 Pitcairn Island
皮鞋匠	 shoemaker
皮耶什佳尼	 Piestany
匹	 mate; one of a pair
匹	 (measure word for horses, mules, a bolt of cloth); ordinary person
匹兹堡	 Pittsburg; Pittsburgh
匹兹堡大学	 University of Pittsburgh
痞	 swelling of the liver
僻	 low; rustic; secluded
屁	 to break wind; to fart
屁股	 buttocks; bottom; arse; end; butt
屁话	 shit; nonsense
譬	 give an example
篇	 sheet; piece of writing; (a measure word); chapter; article
篇幅	 (take up or devote) space; ink; time (in a printed page or news story);  length (of a piece of writing)
篇目	 table of contents
篇章	 writing; sections and chapters
偏	 one-sided; to lean; to slant; prejudiced; inclined to one side
偏爱	 favor; preference
偏差	 bias; deviation
偏见	 prejudice
偏偏	 (indicates that sth. turns out just the opposite of what one would expect  or what would be normal)
片	 disc; sheet
片	 a slice; piece; flake; thin; slice
片语	 phrase
骗	 to cheat; to swindle; to deceive; to full
骗局	 fraud; swindle
骗取	 to gain by cheating
骗术	 trick; deceit
骗子	 swindler; cheater
飘	 to float
漂	 elegant; polished
漂	 to bleach
漂	 to float; to drift
漂白	 bleach; whiten
漂泊	 drifter; wanderer
漂浮	 to float; superficial
漂砾	 boulder
漂亮	 pretty; beautiful
漂流	 carried by the current
漂移	 drift (electrical)
漂游	 drift
瓢	 dipper; ladle
票	 bank note; ticket
撇	 cast away
撇	 (downwards-left curved character stroke); throw
撇去	 skim
瞥	 blink; glance
拼	 piece together; stake (all); spell; join together
拼命	 to be ready to risk one's life (in fighting, work, etc.)
拼盘	 cold platter
拼起来	 to put together
拼音	 pinyin (Chinese romanization)
拼字	 spelling
频	 frequency; frequently; repetitious
频带	 frequency range; bandwidth
频道	 frequency; (television) channel
频繁	 frequently; often
频宽	 frequency range; bandwidth
频率	 frequency
频频	 repeatedly; again and again
频仍	 frequent
贫	 poor
贫困	 impoverished
贫穷	 poor; impoverished
品	 conduct; grade; thing; product; good
品脱	 pint
品味	 taste
品质	 quality
品种	 breed; variety
聘	 betrothed; engage (teacher)
聘请	 engage; hire (a lawyer, etc.)
乒	 bing (onomat.)
乒乓球	 table tennis; ping-pong; table tennis ball
乒乓球台	 table-tennis table
坪	 a plain
苹	 apple
苹	 marsiliaceae
苹	 (artemisia); duckweed
苹果	 apple
苹果电脑	 Apple computer
苹果汁	 apple juice
萍	 duckweed
平	 flat; level; equal; to make the same score; to tie; to draw; calm; peaceful
平板	 tablet; flat
平常	 ordinary; common; usually; ordinarily
平常日	 weekday
平等	 equality
平底锅	 saucepan
平凡	 commonplace
平方	 square (as in square foot, square mile, square root)
平房	 bungalow
平锅	 pan
平衡	 balance; equilibrium
平静	 tranquil; undisturbed
平均	 average
平民	 (ordinary) people
平壤	 Pyongyang (capital of North Korea)
平台	 terrace
平坦	 flat
平稳	 smooth; steady
平信	 ordinary mail (as opposed to air mail, etc.)
平行	 parallel
平原	 field; plane
凭	 lean against; proof; to rely on; to depend on; to be based on
瓶	 bottle; (a measure word); vase; pitcher
瓶颈	 bottleneck
瓶子	 bottle
评	 to discuss; to comment; to criticize; to judge; to choose (by public  appraisal)
评比	 to evaluate (by comparison)
评估	 evaluate
评价	 to evaluate; to assess
评价分类	 rank, classify
评论	 comment; to comment on; to discuss; commentary
评论家	 critic; reviewer
评选	 to choose
评议会	 council
评注	 commentary; remark
屏	 (standing) screen
屏	 get rid of; put aside; reject; keep control; hold back
屏蔽	 screen; shield
屏除	 get rid of; dismiss; brush aside
屏风	 screen
屏门	 screen door
屏幕	 (TV or movie) screen
屏气	 hold one's breath
屏条	 set of (usually four) hanging scrolls
屏息	 hold one's breath
屏障	 protective screen
坡	 slope
泼	 splash; to spill
泼掉	 spill
颇	 quite; rather; uneven; sloping
婆	 grandmother; matron; mother-in-law
婆家	 husband's family
婆婆	 husband's mother; mother-in-law
破	 to break; to split; broken; damaged; worn out
破败	 beaten; ruined
破布	 rag
破产	 to go bankrupt; to become impoverished
破坏	 wreck; break; destroy
破旧	 shabby
破烂	 ragged
破裂	 burst; fracture
破土典礼	 ground breaking ceremony
破晓	 daybreak
魄	 soul
迫	 to force; to compel; pressing; urgent
迫不得已	 have no choice; compelled
迫害	 persecute
迫切	 urgent; pressing
迫切性	 urgency
迫使	 force (someone to do something)
粕	 grains in distilled liquor
剖	 to cut
扑	 rush on
扑	 to rush at; to throw oneself on
铺	 a bed; a store
铺	 to spread
铺	 a store
铺平	 spread out (material); pave (the way, a road, etc.)
铺设	 pave
仆	 servant
仆	 fall prostrate
仆	 servant
仆人	 servant
莆	 place name
葡	 grapes
葡萄	 grape
葡萄酒	 (grape) wine
葡萄乾	 raisin
葡萄牙	 Portugal
葡萄牙人	 Portuguese (person)
葡萄牙语	 Portuguese (language)
葡萄园	 vineyard
菩	 Bodhisattva
蒲	 calamus
蒲隆地	 Burundi
埔	 port
朴	 Celtis sinensis var. japonica
朴次茅斯	 Portsmouth
圃	 garden; orchard
普	 general; popular; everywhere; universal
普埃布拉	 Puebla
普遍	 universal; general; widespread; commonplace
普渡大学	 Purdue University
普尔曼	 Pullman
普福尔茨海姆	 Pforzheim
普吉	 Phuket
普及	 widespread; popular; universal; ubiquitous
普杰	 Bhuj
普孔	 Pucon
普拉	 Pula
普拉茨堡	 Plattsburgh
普拉塔港	 Puerto Plata
普拉特	 Pratt
普拉亚	 Praia
普莱恩维尔	 Plainview
普莱瑟维尔	 Placerville
普莱西德湖城	 Lake Placid
普赖斯	 Price
普雷绍夫	 Presov
普雷斯科特	 Prescott
普雷斯克岛	 Presque Isle
普里什蒂纳	 Pristina
普里瓦	 Privas
普利茅斯	 Plymouth
普林斯顿	 Princeton
普林斯顿大学	 Princeton University
普罗瑟派恩	 Proserpine
普罗维登斯	 Providence
普罗维登西亚莱斯岛	 Providenciales
普罗沃	 Provo
普通	 common; ordinary; general; average
普通话	 Mandarin (common language); putonghua (common speech of the Chinese  language)
普通老百姓	 common people; average people; hoi polloi
普通问题	 common questions; general questions
普瓦捷	 Poitiers
浦	 beach
浦那	 Poona
浦项	 Pohang
谱	 chart; list; score (music)
曝	 to air; to sun
曝光	 exposure
曝露	 expose; exposure
瀑	 waterfall
瀑	 shower (rain)
瀑布	 waterfall
期	 a period of time; phase; stage; (used for issue of a periodical, courses of  study); time; term; period; to hope
期待	 to look forward to; to await
期货	 futures (on goods)
期间	 period of time; time; time period; period
期刊	 periodical
期考	 end of term examination
期满	 to expire; to run out; to come to an end
期票	 promissory note; IOU
期望	 hope; expectation
期限	 time limit; deadline; allotted time
欺	 take unfair advantage of; to deceive; to cheat
欺负	 to bully
欺凌	 to bully and humiliate
欺瞒	 to fool; to hoodwink; to dupe
欺骗	 to deceive; to cheat
欺侮	 to bully
欺压	 to bully; to push around
欺诈	 to cheat
栖	 to roost
栖	 to roost
栖	 to roost
栖	 to roost
栖身	 stay at; live in (temporarily)
栖息	 perch
戚	 ashamed; grief
戚	 (surname); relative
妻	 to marry off (a daughter)
妻	 wife
妻子	 wife
七	 seven; 7
七百	 seven hundred
七百万	 seven million
七层架构	 seven layer architecture (OSI)
七岛港	 Sept Iles
七点二	 7.2
七点五	 7.5
七千	 seven thousand
七十	 seventy; 70
七十八	 seventy eight
七十二	 seventy two
七十九	 seventy nine
七十六	 seventy six
七十年代	 the 1970's
七十七	 seventy seven
七十三	 seventy three
七十四	 seventy four
七十五	 seventy five
七十一	 seventy one
七月	 July; seventh month
七月三十号	 July 30
七月一号	 July 1 
凄	 intense cold; mournful
凄	 intense cold; mournful
凄	 sorrowful
凄惨	 miserable
漆	 paint; lacquer
柒	 seven (fraud-proof)
沏	 to steep (tea)
其	 his; her; its; theirs; that; such; it (refers to sth preceding it)
其次	 next; secondly
其拉扎	 Cilacap
其实	 actually; that is not the case; in fact; really
其他	 other; else
其他的人	 other people
其它	 other
其余	 rest; remaining; remainder
其中	 among; in
其自身	 one's own (respective); proprietary
棋	 chess
奇	 strange; odd; weird; wonderful
奇	 odd (Num)
奇怪	 strange; odd
奇观	 spectacle
奇黑利斯	 Chehalis
奇迹	 miracle
奇迹	 miracle; miraculous; wonder
奇景	 marvel
奇科	 Chico
奇科皮	 Chicopee
奇克谢	 Chickasha
奇利瓦克	 Chilliwack
奇廉	 Chillan
奇妙	 fantastic; wonderful
奇诺	 Chino
奇帕塔	 Chipata
奇琴伊塞	 Chichen Itzay
奇事	 marvel
奇数	 odd number
奇特	 peculiar; queer; strange
奇闻	 anecdote
歧	 divergent; side road
歧视	 discrimination (against someone)
畦	 furrow; small plot of farm land
崎	 mountainous
崎岖	 rugged
脐	 navel
齐	 (surname); even; to make even
齐白石	 name of a famous Chinese artist, Qi Bai Shi
旗	 banner; flag
旗袍	 Chinese-style dress; cheongsam
旗帜	 ensign; flag
旗子	 flag; banner
祈	 implore; pray; please
祈祷	 to pray; to say one's prayers; prayer
祁	 (surname)
骑	 to ride (an animal or bike); to sit astride
骑兵	 cavalry
骑车	 cycle
骑马	 ride on horseback
骑师	 horseman
骑士	 rider
骑士风格	 knighthood
骑士气概	 chivalry
起	 to rise; to raise; to get up
起...作用	 to play the role of ...
起草	 draft (a bill); draw up (plans)
起床	 to get up
起点	 starting point
起飞	 to take off (in an airplane)
起伏	 ups and downs; with a wavy motion (brush stroke in painting)
起来	 beginning or continuing an action; upward movement; stand up
起泡沫	 seethe
起始	 originate
起死回生	 arise from the dead
起诉	 to sue; to bring a lawsuit against
起诉者	 suitor
起源	 origin; to originate; to come from
起重机	 crane
起皱纹	 shrivel
岂	 how can it be that
乞	 beg
乞力马札罗	 Kilimanjaro
乞丐	 beggar
企图	 attempt
企业	 company; firm; enterprise
企业管理	 business management (as a study)
企业集团	 industry association
企业间网路	 extranet; company-external network
企业内网路	 intranet; company-internal network
启	 to open; to start
启程	 set out on a journey
启动	 to start
启发	 enlighten
启示	 enlightenment; revelation
启示录	 Revelations
启示者	 revelator
契	 contract
契据	 deed
契瓦瓦	 Chihuahua
契约	 agreement; contract
砌	 to build by laying bricks or stones
器	 device; tool; utensil
器官	 organ (part of body tissue); apparatus
器官捐献者	 organ donor
器官移殖	 organ transplant
器具	 implement; ware
气	 air; anger; gas
气	 gas; air; smell; weather; vital breath; to make sb. angry; to get angry; to  be enraged
气车	 bus
气喘喘	 breathless
气氛	 atmosphere; mood
气功	 qigong, a system of deep breathing exercises
气候	 climate; atmosphere; situation
气候状况	 climatic conditions; atmospheric conditions
气泡	 bubble
气球	 balloon
气人	 to get someone angry; to get someone annoyed
气色	 complexion
气势汹汹	 aggressive
气体	 gas (i.e. gaseous substance)
气味	 odor; scent
气温	 air temperature
气息	 breath
气象	 meteorology; atmosphere
气压计	 barometer
气质	 temperament
迄	 as yet; until
迄今	 so far; to date; until now
弃	 abandon; relinquish; to discard; to throw away
弃旧换新	 to turn over a new leaf
弃权	 to abstain from voting; to forfeit; to waive one's right to vote
弃世	 to leave this word; to die
弃樱	 abandoned baby
弃置	 to throw away; to discard
汽	 steam; vapor
汽车	 car; automobile
汽车展览会	 car show; automobile expo
汽船	 steamboat; steamship
汽水	 soda; pop
汽油	 gas; gasoline
泣	 to sob
讫	 finished
掐	 pick (flowers); to pinch
恰	 exactly; just
恰当	 appropriate; suitable
恰好	 as it turns out; by lucky coincidence
恰纳卡莱	 Canakkale
恰如其份	 appropriate; judicious; accurate (assessment, etc)
洽	 accord; make contact
牵	 lead along
牵扯	 involve; implicate
牵连	 (be) implicated
牵涉	 involve; implicated
扦	 graft (tree); stick in
铅	 lead (metal)
铅笔	 (lead) pencil
千	 thousand
千	 a swing
千赫兹	 kilohertz; kHz
千丝万缕	 linked in countless ways
千万	 ten million; millions and millions; very many
千位元	 kilobit
千周	 kilohertz; kHz
千字节	 kilobyte
千禧年	 Millennium
迁	 to move; to shift
迁都	 to move the capitol (city)
迁就	 to yield; to adapt to; to accommodate to (sth)
迁居	 to move (from one residence to another)
迁居移民	 immigration
迁怒	 to take one's anger out on sb (who does not deserve it)
迁延	 long delay
迁移	 to migrate; to move
迁徙	 to migrate; to move
签	 a note; a stick; sign one's name
签	 sign one's name
签出	 to log off
签订	 to agree to and sign (a treaty, etc)
签名	 to sign (one's name with a pen, etc.); to autograph
签入	 to log on; to log in
签署	 to sign (an agreement)
签章	 signature
签证	 visa
签字	 to sign (a signature)
仟	 thousand
谦	 modest
谦和	 meekly
谦虚	 modest
谦逊	 humble; humility; modesty
乾	 (surname); male; strong
乾	 dry
乾杯	 to drink a toast; to propose a toast; here's to; cheers
乾草	 hay
乾旱	 drought
乾净	 clean; neat
乾酪	 cheese
乾燥	 dry; arid
黔	 an old name for Guizhou (贵州) province
钱	 (surname); coin; money
钱包	 purse; wallet
钱袋	 purse; wallet
钳	 pliers; pincers; to clamp
前	 before; in front; ago; former; previous; earlier; front
前辈	 senior; older generation
前不久	 not long before
前程	 future (career, etc) prospects
前额	 forehead
前进	 to go forward; to forge ahead; to advance; onward
前景	 foreground; vista; (future) prospects; perspective
前面	 fore; front
前年	 the year before last
前任	 predecessor; ex-; former
前生	 pre-existence
前生召唤	 foreordination
前苏联	 former Soviet Union
前所未有	 unprecedented
前提	 premise
前途	 prospects; outlook (for the future); future
前往	 leave for; proceed towards; to go
前夕	 eve; the day before
前向拥塞通知	 Forward Explicit Congestion Notification; FECN
前言	 preface; forward; introduction
前者	 the former
潜	 hidden; latent; secret; to hide; to conceal; secret; hidden; to submerge
潜伏	 to hide; to cover up; to conceal
潜力	 potential; capacity
潜水	 dive
潜水艇	 submarine
潜艇	 submarine
潜行	 sneak
潜在	 hidden; potential; latent
潜在威胁	 potential threat; potential menace
遣	 dispatch
浅	 shallow
浅	 shallow
浅黄色	 buff; pale yellow
谴	 punishment; scold
谴责	 denounce; condemn; criticize
堑	 moat around a city
嵌	 deep valley; inlay
欠	 deficient; owe; to lack; yawn
欠佳	 suboptimal; subpar; not good enough
歉	 apologize; deficient; to regret
枪	 gun; firearm; rifle; spear
枪	 rifle; spear
枪管	 gun barrel
呛	 choke; pungent
呛	 against wind
腔	 cavity of body; tune
腔调	 accent
羌	 educated; name of a tribe; strong
墙	 wall
墙壁	 wall
蔷	 wild rose
蔷薇	 rose
蔷薇花蕾	 rosebud
强	 strength; force; power; powerful; better
强暴	 violent
强大	 large; formidable; powerful; strong
强盗	 bandit; robber
强调	 to emphasize (a statement); to stress
强度	 strength; intensity
强风	 gale
强光	 glare
强悍	 valiant
强化	 to strengthen; to intensify
强加	 impose by force
强奸	 rape
强健	 sturdy
强劲	 powerful; with force
强拉	 tug
强烈	 intense; (violently) strong
强迫	 compel; force
强权	 power; might
强势	 mighty
强硬	 tough
强有力	 strong; forceful
强制	 enforce; enforcement; forcibly
抢	 against wind
抢	 fight over; to rush; to scramble; to grab; to rob; to snatch
抢夺	 snap
抢购	 panic buying; rushing to buy
抢劫	 rob
抢救	 rescue
抢先	 to rush (to do sth urgent)
锹	 shovel; to dig
敲	 extort; knock; to strike; to knock (at a door); to hit
敲打	 beat
敲击	 pound; rap
敲入	 to key in; to input
悄	 quiet; sad
悄悄地	 gently; softly; stealthily
桥	 bridge
桥本	 (Japanese surname) Hashimoto
桥本龙太郎	 Hashimoto, Ryutaro (prime minister of Japan)
桥接	 bridging (in computer networks)
桥接器	 bridge (networking)
瞧	 look at
乔	 tall
乔木	 arbor
乔普林	 Joplin
乔石	 Qiao Shi (Chinese leadership contender)
乔斯	 Jos
乔治敦	 Georgetown
乔治王子城	 Prince George
乔治亚	 Georgia
乔治亚州立大学	 Georgia State University
侨	 emigrant; reside abroad
巧	 opportunely; coincidentally; as it happens; skillful; timely
巧合	 coincidence
巧计	 maneuver; scheme
巧克力	 chocolate
鞘	 scabbard; sheath
撬	 to lift
翘	 outstanding; to raise
峭	 steep hill
峭壁	 cliff; steep; precipice
俏	 smart
俏皮	 saucy
窍	 intelligence; opening
切	 to cut; to slice
切	 close to
切断	 cut off (a supply, etc.)
切换	 to cut over
切片	 slice
切实	 feasible; earnestly; conscientiously; realistic; practical
切斯特	 Chester
切图马尔	 Chetumal
切望	 crave; eager; longing
茄	 eggplant
且	 further; moreover
且末	 Qiemo
怯	 afraid; rustic
窃	 I beg to presume; steal
窃盗	 burglar
窃听	 eavesdrop; wiretap
窃贼	 thief
钦	 royal
侵	 to invade; to infringe; to approach
侵晨	 towards dawn
侵犯	 to infringe on; to encroach on; violate
侵害	 to encroach on; to infringe on
侵截	 to hack (computer)
侵截者	 (computer) hacker
侵略	 invasion; encroachment
侵扰	 to invade and harass
侵入	 to make (military) incursions; to invade
侵入者	 intruder; invader
侵蚀	 to erode; to corrode
侵吞	 to annex; to swallow (up); to embezzle
侵袭	 to invade and attack
侵占	 to invade and occupy (territory)
亲	 parents-in-law of one's offspring
亲	 dear; intimate; parent; relation; closely related
亲爱	 dear ... (way of starting a letter)
亲家	 parents of one's daughter-in-law or son-in-law; relatives by marriage
亲近	 get close to someone; get intimate
亲戚	 (a) relative (i.e. family member)
亲切	 amiable; friendliness; gracious; hospitality; intimate; cordial; kind;  close and dear; familiar
亲善	 goodwill
亲身	 personal; oneself
亲手	 personally; with one's own hands
亲属	 kin; kindred
亲信	 trusted aide
亲自	 personally
秦	 (surname); name of a dynasty
秦皇岛	 Qinhuangdao
琴	 (mus. instr.)
琴斯托霍瓦	 Czestochowa
琴弦	 chord
勤	 diligent; frequent
勤勉	 diligence; diligent; industrious
芹	 Chinese celery
芹菜	 celery
擒	 capture
禽	 birds; fowl
禽类	 bird species; birds
禽流感	 "bird flu" (flu carried by birds - found in Hong Kong in late 1997)
寝	 lie down
沁	 name of a river
青	 9th of month (tele.); blue-green
青草	 grass
青岛	 Qingdao
青年	 youth
青森	 Aomori
青山绿水	 verdant hills and green waters
青苔	 lichen
青铜	 bronze
青蛙	 frog
青鱼	 herring
轻	 hydrogen; light; easy; gentle; soft
轻打	 tap; hit lightly
轻而易举	 easy; with no difficulty
轻蔑	 disdain
轻轻	 lightly; softly
轻染	 tinge
轻视	 contempt; contemptuous; despise; scorn; scornful
轻松	 gentle; relaxed
轻微	 slight
轻咬	 nibble
氢	 hydrogen
氢气	 hydrogen (gas)
倾	 to overturn; to collapse; to lean; to tend; to incline; to pour out
倾倒	 pour; empty out
倾听	 hark; listen
倾听者	 listener
倾向	 trend; tendency
倾向于	 prone to
倾向於	 prone to
倾销	 to dump (goods, products)
倾斜	 incline; lean; slant; slope; tilt
卿	 (old) minister; (old) term of endearment between spouses; thou (poet.)
清	 clear; distinct; complete; pure
清澈	 fair
清除	 eliminate; get rid of
清楚	 clear; clearly understood; distinct
清单	 list of items
清洁	 clean; purity
清洁器	 cleaner
清莱	 Chiang Rai
清廉	 honest; uncorrupted
清迈	 Chiang Mai
清瘦	 meager
清爽	 fresh and cool
清汤	 broth
清洗	 to wash; to clean; to purge
清醒	 clear-headed; sober
清真	 Islamic; Muslim
清真寺	 mosque
擎	 to raise (hand)
晴	 clear; fine (weather)
晴朗	 sunny and cloudless
晴天	 sunny
晴雨表	 barometer
情	 feeling; emotion; passion; situation
情报	 (spy) intelligence; information-gathering
情报处	 source (of information)
情报官员	 intelligence official
情报局	 intelligence agency
情感	 feeling; emotion
情节	 plot
情况	 circumstances; state of affairs; situation
情况下	 under (this) circumstances
情形	 circumstances; situation
情绪	 feeling; sentiment
情绪化	 emotional; sentimental
情愿	 willingness; would rather (agree to X than Y)
顷	 100 mu; a short while ago
请	 to ask; to invite; please (do sth); to treat (to a meal, etc); to request
请教	 consult
请看	 please see ...; vide
请求	 request
请问	 may I ask...
请愿	 petition (for action to be taken)
请愿书	 petition
庆	 celebrate
庆贺	 congratulate
庆阳	 Qingyang
庆祝	 celebrate
琼	 (red stone); beautiful
琼斯伯勒	 Jonesboro
穷	 exhausted; poor
秋	 a swing
秋	 autumn; fall; harvest time; a swing
秋高气爽	 clear and refreshing autumn weather
秋季	 autumn; fall semester
